"","logsd","decayrate","sdmean","saleprob","base_awelfare","base_twelfare","base_assetprice","rot_awelfare","rot_twelfare","alloc_tau","alloc_tau_awelfare","total_tau","total_tau_twelfare","total_tau_awelfare"
"1",0.5,0.971831908251577,0.100246537198965,0.0497581827555325,1.93771139804659,3.13421655897923,61.0217632075649,2.00822035501224,3.18833855234233,0.0789742789785633,2.03564771799184,0.0272911383573305,3.18861894861296,2.01147582558897
"2",0.52,0.970589647750664,0.104207003211059,0.0497582855118981,1.98920455325297,3.21416951858301,62.4732132318317,2.06479526858455,3.27298343091375,0.0791528416898843,2.09420207640874,0.0279895985862716,3.27344218171666,2.06921821788251
"3",0.54,0.969334003712398,0.108169028063636,0.0497586038495958,2.04204636501913,3.29613737008429,63.9586412583233,2.12295570099661,3.35987080136046,0.0795975093428484,2.1544339892098,0.0286719345935067,3.36056016516883,2.12863752706853
"4",0.56,0.968065687464875,0.11214015669608,0.049759681354773,2.09627427953827,3.38018435016251,65.4794136018362,2.18276254000425,3.44908761739372,0.0798866867053784,2.21640720826501,0.0292844857887082,3.45005424356081,2.18971150890441
"5",0.58,0.966783190959777,0.116119552657975,0.0497609234993459,2.15190921294613,3.46633780658587,67.0358582756269,2.2442479543912,3.54067274589296,0.0799470138070397,2.28015479023114,0.0298323863492073,3.54196239659452,2.25247042257642
"6",0.6,0.965485477014855,0.120103820420422,0.0497620128303965,2.20901742421126,3.55481976752779,68.6359195091428,2.30743598467306,3.63480406704212,0.0799514142976852,2.34570994947001,0.0304796322210205,3.63647238610277,2.3171936053365
"7",0.62,0.964174487716396,0.124089711632975,0.0497619090084185,2.26757778050383,3.64536139780141,70.2669644821761,2.37241102256632,3.73132238355407,0.0805891139812772,2.41315866921364,0.0310484274403656,3.73342289557851,2.38369721956876
"8",0.64,0.962848017888655,0.128086004115201,0.0497620834614201,2.32768161858078,3.73836304270994,71.9447526305873,2.439186647669,3.83054507354358,0.0809095330896501,2.48252480739714,0.0316104232980186,3.83313784455354,2.4521098766822
"9",0.66,0.961505590665008,0.132084569989313,0.0497631582374303,2.38928052501276,3.83345502767812,73.6528996359335,2.5078105358442,3.93220249055967,0.0814497234562655,2.5538602317611,0.0321527894240917,3.93534956833864,2.52245743927166
"10",0.68,0.960146669718476,0.136088357770443,0.0497652518005622,2.4524883536332,3.93112694753518,75.4105682890003,2.57833658116748,4.0367189889325,0.0809426972647264,2.62721180672375,0.032713180793886,4.04047671385949,2.59485628997213
"11",0.7,0.95877054254885,0.140094794274128,0.0497654050012277,2.5172906179874,4.0312010689918,77.2094330012246,2.65080158596027,4.14397253849569,0.0816906561789847,2.70263290983552,0.0331927559676107,4.14840370508744,2.66917469011875
"12",0.72,0.95737710388815,0.144105570939551,0.0497674400891211,2.58370207296368,4.13349827894994,79.0396065052992,2.72526929833433,4.25383282414185,0.081856727796553,2.78018061074931,0.0335719695951965,4.25899834894606,2.74542031451002
"13",0.74,0.955964806454532,0.148118483660166,0.0497683437864815,2.65179583092285,4.23851541291532,80.9226986816162,2.80175104952322,4.3667313749759,0.082295089176584,2.8598891652195,0.0343387837341713,4.37271055890483,2.82456746512674
"14",0.76,0.954533985787287,0.1521324089136,0.0497686174188512,2.72158918123877,4.34609886109234,82.8499936725316,2.88033914370776,4.48259159253111,0.0823766039164874,2.94183327134277,0.0347407406441222,4.48943759050956,2.90523430294029
"15",0.78,0.953082810194198,0.156147573070914,0.0497711891236911,2.79309429997273,4.45625297896403,84.8210926285557,2.9610194854316,4.60138927525974,0.0825398826859856,3.02604423136927,0.035233882218771,4.60920600730388,2.98833963035519
"16",0.8,0.951610576819671,0.160165897088597,0.0497720008713792,2.86634215100568,4.56876227694125,86.823426422714,3.04387981884111,4.72297239946238,0.083186486907765,3.11257687227591,0.0357473118510032,4.73182222909582,3.07379687894435
"17",0.82,0.950117578487414,0.164178153764873,0.0497737581024097,2.94139513137869,4.68423160624003,88.8846602179285,3.12895930445453,4.84791289889475,0.083270026245647,3.20150195835511,0.0361763540308067,4.85788993347781,3.16145434121415
"18",0.84,0.948600364788592,0.168189586103759,0.0497758819744575,3.01822594381992,4.80235415595333,90.9905388188715,3.21627063974904,4.97594824273775,0.0834420542968131,3.29282820509371,0.0367972841443929,4.98713324513942,3.25192830713961
"19",0.86,0.947061955632145,0.172203109351673,0.049776161983454,3.09693963778902,4.92330384885837,93.1445747645367,3.30595005018533,5.10728457331156,0.0839010226066561,3.38667605199903,0.0371660919935231,5.11974844722194,3.34433794425676
"20",0.88,0.945497388733753,0.176210384950608,0.0497789690592772,3.17747953631859,5.04698837026751,95.3449505313946,3.3979126590841,5.24179790638173,0.0841000616357481,3.48303077155249,0.0376720992313946,5.25566978801034,3.43955197653685
"21",0.9,0.943907044014708,0.180211790831949,0.0497815296818316,3.25990726258755,5.17348066877986,97.592243715808,3.49229515547248,5.37963858042243,0.0845597934672683,3.58196558617157,0.0381425379643028,5.39498450433535,3.53724352019633
"22",0.92,0.942290692048811,0.184206650010151,0.0497817759988468,3.34424818443698,5.30257408700666,99.8746210310537,3.58908253573186,5.52056477931751,0.0847039413919138,3.68355130425689,0.0386528832714189,5.53753611976246,3.63767164375752
"23",0.94,0.940645808031051,0.18819503708306,0.0497827492766534,3.43051074937935,5.43480640485283,102.219078429148,3.68837694529905,5.66519784087383,0.0852080189951985,3.78781040060664,0.0388574874073215,5.68384968697466,3.73993368605646
"24",0.96,0.938971519808618,0.192175520408507,0.0497849721328739,3.51871512916874,5.56995101829163,104.613030345267,3.79014955681959,5.81326495858945,0.085594581850807,3.8947990326696,0.0393382655113464,5.83374570149261,3.84562305657112
"25",0.98,0.937265410148398,0.196147929460003,0.0497866116438253,3.60887882131826,5.70799158554502,107.054750975564,3.89446197822802,5.96479619264433,0.0861355519947905,4.00454474229354,0.0399599891189214,5.98721343007985,3.95444727364565
"26",1,0.935527845734772,0.200105906172354,0.0497884245829866,3.70101229177397,5.84900004754532,109.547375544339,4.00136806430199,6.11990525885149,0.0865544388108484,4.11712948359679,0.0403841667184535,6.14438924707802,4.06553102853428
"27",1.02,0.933755487053382,0.204049147263495,0.0497896419492434,3.79511591557571,5.99293715809246,112.088883368355,4.11086697043776,6.27855306209937,0.0867623591638484,4.23255814116603,0.0407959266902039,6.30522920996537,4.1793783110671
"28",1.04,0.931946750772746,0.207976019761558,0.0497912517865113,3.89119534361196,6.13952316532865,114.664718907551,4.22298068474045,6.44047903594822,0.0871414510104555,4.35087727988955,0.0410765824244045,6.46950494359145,4.29566800483775
"29",1.06,0.930099532617678,0.211888801197608,0.0497932216150375,3.98923998335438,6.28932512732127,117.304342342311,4.33774739162683,6.60629109993313,0.0875036786581709,4.47210779080294,0.0416822002524346,6.63778568518626,4.41583090166088
"30",1.08,0.928212234695919,0.215777682614005,0.0497951153555689,4.08926018432846,6.44207320159106,119.993463880392,4.45517532622227,6.775721619925,0.0880920778444326,4.59629885688575,0.0421145436101059,6.80984711382767,4.53837078029463
"31",1.1,0.926283012677857,0.219644972547609,0.0497973370479434,4.19123131667606,6.59774095711564,122.731991662419,4.57529349421087,6.94879734345713,0.0883115448208112,4.72347865782147,0.0422666976063191,6.98571029052777,4.66290500782272
"32",1.12,0.924307963640036,0.223490550601686,0.0497994670458186,4.29514037199863,6.75627041220912,125.517632050735,4.69807827190926,7.12545077595014,0.0891458297612799,4.85363458421925,0.0429563950383758,7.1653186497494,4.79217634861534
"33",1.14,0.922286151879939,0.227307074681549,0.0498010612196668,4.40097297099453,6.91767781254676,128.351946919164,4.8235660854189,7.30574911045052,0.0891893873657137,4.98682661300558,0.0432912189804077,7.34873912521936,4.92319983917576
"34",1.16,0.920213309284042,0.231095323786774,0.0498028905400559,4.50865419366686,7.08154488330041,131.217425171311,4.9517091816578,7.48930500196797,0.0902734816329554,5.12302151535018,0.0439496636865832,7.53561821117717,5.05833752056455
"35",1.18,0.918087297583006,0.234851676690125,0.0498054259101167,4.6181961232631,7.24846698038502,134.143813713217,5.08252164018328,7.67670716151054,0.0908029756462348,5.26224052970992,0.04423635294482,7.72652324441464,5.19507320561215
"36",1.2,0.915903534073947,0.238567909509081,0.0498073436819839,4.7294915663798,7.41799630629432,137.11374173564,5.21593434001823,7.86755224725572,0.0911664757275832,5.4044437963923,0.0444906758379289,7.92106959301242,5.33455469143717
"37",1.22,0.913659325379843,0.242244698160844,0.049810202422335,4.84251938547117,7.59010448485786,140.126840068721,5.35193986183922,8.06182361584553,0.0916381168669941,5.54964346391653,0.0450487729396535,8.11926905185627,5.4781259998202
"38",1.24,0.91134880436164,0.245876772686137,0.0498138894198373,4.95714306182287,7.76457393421586,143.178974492043,5.49044089405802,8.25934407589114,0.0925583349624479,5.69774390861242,0.0456088373263511,8.32093274578134,5.62454421300563
"39",1.26,0.908967200300205,0.249453726952524,0.0498169826832073,5.0732596835546,7.94125522154961,146.267772439115,5.63136311953827,8.45999538387324,0.0927013697397352,5.84870412032103,0.0460252335287864,8.52595763930482,5.77314272329986
"40",1.28,0.906512314651657,0.252980096737065,0.0498198655753549,5.19082039144838,8.1198011226587,149.378017291726,5.7746762670009,8.66345248934796,0.0935648359560984,6.00251992386806,0.0461582428150644,8.73404900291015,5.92326838365258
"41",1.3,0.903975886574479,0.256437012595243,0.0498214907303091,5.30966257955216,8.30052156997186,152.533808511404,5.92020144896457,8.87000413662302,0.0939324521767595,6.15903004322033,0.0469114776522305,8.94549939114876,6.07865156273281
"42",1.32,0.901352793219424,0.25983712967396,0.0498254802808422,5.42961177271671,8.48290879808822,155.718148293948,6.06786270587922,9.07924024757999,0.0949827242252115,6.31817990927201,0.047387377224862,9.15989357262518,6.23534836303082
"43",1.34,0.898637120530556,0.263157077112154,0.0498287774124475,5.55055859502306,8.66676444040512,158.926498114484,6.21750513628291,9.29092268034848,0.0955646236460825,6.47983980808064,0.0477139455631163,9.37703505294922,6.3937471963607
"44",1.36,0.895818710635784,0.26639771834597,0.0498330204973402,5.67221019840424,8.85164740470159,162.151297521193,6.36890075654775,9.5046747065425,0.0965227295383842,6.64380630139931,0.0483604788068221,9.5965332617942,6.55578370553466
"45",1.38,0.892892304108282,0.269550099210657,0.0498358478233876,5.79443462731684,9.0373830743503,165.390370798706,6.52189867846766,9.72030709301921,0.0972955859952745,6.80996937036058,0.0488183550961065,9.81824755158237,6.71898920440532
"46",1.4,0.8898455709104,0.272606217345277,0.0498389515097463,5.91685914430357,9.22310418859302,168.618497258762,6.67617122664716,9.93700177519365,0.098366411819132,6.97802594746364,0.0493065036808287,10.041378694474,6.88406596635588
"47",1.42,0.886669986342795,0.275550861774397,0.0498428880725064,6.03926917162243,9.40909908198653,171.861325428569,6.8315108419014,10.1550462361308,0.0992334921170245,7.14779010272746,0.0496736842695564,10.2661893115904,7.05003268159274
"48",1.44,0.883355525883821,0.278380938101475,0.049846422652844,6.16141174631465,9.59464389039982,175.094839348344,6.98764127462029,10.3737018301235,0.100333186805417,7.31901059434632,0.0503122343402171,10.4919814439916,7.21865529547842
"49",1.46,0.879882878096087,0.28107802855834,0.0498508361997866,6.2826289656119,9.77882756631888,178.306128636055,7.14396909886893,10.5921232689113,0.101255069506703,7.49117262065031,0.0507341830589111,10.7179489970487,7.38684894652176
"50",1.48,0.876244623940699,0.283647032077365,0.0498540594463805,6.40282374958312,9.96144307732784,181.489585714981,7.30032403785312,10.8100354298618,0.102527319959389,7.66409897976487,0.051389099074321,10.943819213022,7.55683418599287
"51",1.5,0.872418338192234,0.286049755874995,0.0498580172915672,6.52128441822912,10.1411391783874,184.612592768075,7.45602578782752,11.0261238706817,0.104025181388469,7.83718500058269,0.0519572049974421,11.1683205113887,7.72623722273198
